theta,epsilon,epsilon_inverse,V_standard,Vstar_delta,Vstar_rho,shot_coefficient,R_opt_at_x_fixed
1.199999999999999956e+00,9.999990892431925849e-01,1.000000910757636863e+00,9.980525002232851772e-01,1.460938728068305048e-01,3.379303083669473601e-02,9.642594693865904620e-01,8.124206529087105082e+02
5.386098380143292674e-01,9.624983652212809604e-01,1.038962803609642771e+00,1.071501374003754670e+00,1.540688444817575886e-01,6.993939670344412329e-02,1.001561977300310602e+00,8.062718584616634416e+02
4.802515609680029218e-01,9.264031027159232989e-01,1.079443707677914421e+00,1.139541046064727281e+00,1.470336042247318009e-01,7.694216729823528944e-02,1.062598878766491950e+00,8.501124471442421964e+02
4.433450625054390914e-01,8.916614700602985000e-01,1.121501863181746605e+00,1.202568132634703746e+00,1.404907548268532758e-01,8.164649069054064068e-02,1.120921641944163216e+00,8.932309324372760102e+02
4.157347806272395641e-01,8.582227063931081590e-01,1.165198721206929688e+00,1.260951730505725843e+00,1.343088091716919397e-01,8.513094183299070583e-02,1.175820788672735207e+00,9.356605480018497474e+02
3.934330372474868498e-01,8.260379525968045700e-01,1.210598129125076250e+00,1.315033768521128854e+00,1.284506508653206203e-01,8.785220725330999958e-02,1.227181561267818743e+00,9.774313311281938468e+02
3.746040936073817273e-01,7.950601794466274352e-01,1.257766425550344458e+00,1.365131007664326157e+00,1.228925030404311725e-01,9.005131843312694229e-02,1.275079689231199298e+00,1.018605387817324186e+03
3.582422112806327164e-01,7.652441216044137962e-01,1.306772534107672801e+00,1.411536889015013729e+00,1.176142506997640558e-01,9.187208487733275475e-02,1.319664804137681058e+00,1.059258222718522575e+03
3.437332030167887797e-01,7.365462132679496676e-01,1.357688060825326559e+00,1.454523247702195432e+00,1.125977389666215078e-01,9.340742695066876766e-02,1.361115820751526595e+00,1.099468284542468609e+03
3.306728610618146491e-01,7.089245264924237677e-01,1.410587393481423035e+00,1.494341900831030356e+00,1.078263660302310606e-01,9.472086877544243222e-02,1.399621032055587966e+00,1.139312193835316975e+03
3.187801499561263574e-01,6.823386941833198271e-01,1.465547840866453955e+00,1.531226143044698507e+00,1.032849099128245185e-01,9.585771259641708009e-02,1.435368430448281440e+00,1.178862784094152630e+03
3.078512821032040603e-01,6.567498787882715128e-01,1.522649690998097993e+00,1.565392071872558244e+00,9.895940573968453613e-02,9.685134571107026358e-02,1.468540726161488008e+00,1.218188395835361689e+03
2.977334642022942957e-01,6.321206846033522453e-01,1.581976392099061490e+00,1.597039895007323684e+00,9.483702258406739860e-02,9.772703390199136142e-02,1.499312861105332351e+00,1.257352871016388917e+03
2.883089981181698458e-01,6.084151240625264023e-01,1.643614631606742815e+00,1.626355072383374401e+00,9.090595599019835049e-02,9.850431590125682813e-02,1.527850756482117545e+00,1.296415747110536586e+03
2.794851604485806829e-01,5.855985608542750853e-01,1.707654469883247872e+00,1.653509407633995343e+00,8.715532461472433323e-02,9.919857873795351333e-02,1.554310828896041885e+00,1.335432600460457934e+03
2.711875075278269986e-01,5.636376577414679012e-01,1.774189474860611515e+00,1.678662055328310032e+00,8.357507695578708651e-02,9.982212863199818598e-02,1.578839926696311791e+00,1.374455418397445783e+03
2.633552961595912456e-01,5.425003236105279125e-01,1.843316872780191185e+00,1.701960456674326494e+00,8.015590746709087833e-02,1.003849398201588777e-01,1.601575516854167658e+00,1.413532970969323742e+03
2.559382669621289019e-01,5.221556741714712402e-01,1.915137667682624834e+00,1.723541193350308198e+00,7.688918394551673419e-02,1.008951905535970944e-01,1.622646002796711118e+00,1.452711138141921765e+03
2.488943226185491853e-01,5.025739815526053533e-01,1.989756805377574267e+00,1.743530792604578217e+00,7.376688139246637133e-02,1.013596553299879049e-01,1.642171137274590409e+00,1.492033229936097541e+03
2.421878224636821175e-01,4.837266353138132136e-01,2.067283310440946043e+00,1.762046462893489318e+00,7.078152511600950547e-02,1.017839967297104187e-01,1.660262466163778816e+00,1.531540257128454186e+03
2.357883006277445292e-01,4.655860943719239975e-01,2.147830470214108889e+00,1.779196785976510986e+00,6.792613888805357214e-02,1.021729864535341065e-01,1.677023799522976866e+00,1.571271193626834929e+03
2.296694935197838849e-01,4.481258539236065985e-01,2.231515970891679856e+00,1.795082345181392425e+00,6.519420114986745896e-02,1.025306746874235786e-01,1.692551670493968929e+00,1.611263183560211019e+03
2.238085838675338279e-01,4.313204010536731969e-01,2.318462093508905753e+00,1.809796319436276946e+00,6.257960434073471523e-02,1.028605220007516724e-01,1.706935797435525259e+00,1.651551750799677620e+03
2.181856110886017663e-01,4.151451804412086277e-01,2.408795879401077311e+00,1.823425025668877986e+00,6.007662006965783230e-02,1.031655028899971793e-01,1.720259522778880834e+00,1.692170968054324248e+03
2.127830023856423780e-01,3.995765567137622432e-01,2.502649325136341307e+00,1.836048425448413957e+00,5.767986743394118432e-02,1.034481881260607139e-01,1.732600237322353243e+00,1.733153617586565133e+03
